fighter,event_date,opp_elo_mean,opp_elo_mean_wins,opp_elo_mean_losses,wins_vs_top,losses_vs_top,losses_vs_bottom,bad_loss_ratio
AJ Cunningham,2024-03-02,,,,0,0,0,0.0
AJ Cunningham,2025-03-15,1508.1402081461576,,1508.1402081461576,0,0,0,0.0
AJ Dobson,2022-02-12,,,,0,0,0,0.0
AJ Dobson,2022-10-22,1481.6,,1481.6,0,0,0,0.0
AJ Dobson,2023-08-12,1498.2439469955016,,1498.2439469955016,0,0,0,0.0
AJ Dobson,2024-03-23,1498.3579325848023,1498.5859037634032,1498.2439469955016,0,0,0,0.0
AJ Fletcher,2022-03-12,,,,0,0,0,0.0
AJ Fletcher,2022-08-20,1518.2535465194705,,1518.2535465194705,0,0,0,0.0
AJ Fletcher,2023-02-18,1509.1267732597353,,1509.1267732597353,0,0,0,0.0
AJ Fletcher,2023-09-23,1506.08451550649,1500.0,1509.1267732597353,0,0,0,0.0
Aalon Cruz,2020-02-29,,,,0,0,0,0.0
Aalon Cruz,2021-03-06,1500.0,,1500.0,0,0,0,0.0
Aaron Brink,2000-11-17,,,,0,0,0,0.0
Aaron Phillips,2014-05-24,,,,0,0,0,0.0
Aaron Phillips,2014-08-23,1501.375872642242,,1501.375872642242,0,0,0,0.0
Aaron Phillips,2020-07-15,1500.687936321121,,1500.687936321121,0,0,0,0.0
Aaron Phillips,2023-04-15,1500.4586242140806,,1500.4586242140806,0,0,0,0.0
Aaron Pico,2025-08-16,,,,0,0,0,0.0
Aaron Pico,2026-04-11,1575.9797129441909,,1575.9797129441909,0,0,0,0.0
Aaron Riley,2002-05-10,,,,0,0,0,0.0
Aaron Riley,2006-01-16,1500.0,,1500.0,0,0,0,0.0
Aaron Riley,2008-11-15,1500.0,,1500.0,0,0,0,0.0
Aaron Riley,2009-03-07,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Riley,2009-08-08,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Riley,2009-11-14,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Riley,2010-05-29,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Riley,2011-09-24,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Riley,2013-07-27,1500.0,1500.0,1500.0,0,0,0,0.0
Aaron Rosa,2011-06-11,,,,0,0,0,0.0
