fighter_name,first,last,nickname,height_cm,weight_lbs,reach_cm,stance,dob,url
Tom Aaron,Tom,Aaron,,,155.0,,,1978-07-13,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,Danny,Abbadi,The Assassin,180.3,155.0,,Orthodox,1983-07-03,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,Nariman,Abbasov,Bayraktar,172.7,155.0,167.6,Orthodox,1994-02-01,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,Darion,Abbey,,188.0,265.0,203.2,Orthodox,1993-02-25,http://ufcstats.com/fighter-details/4961467134abd8be
David Abbott,David,Abbott,Tank,182.9,265.0,,Switch,1965-04-26,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,Hamdy,Abdelwahab,The Hammer,188.0,264.0,182.9,Southpaw,1993-01-22,http://ufcstats.com/fighter-details/3329d692aea4dc28
Farida Abdueva,Farida,Abdueva,,,115.0,,,2004-05-15,http://ufcstats.com/fighter-details/8f3837b4c06f3d1e
Mansur Abdul-Malik,Mansur,Abdul-Malik,,188.0,185.0,203.2,Orthodox,1997-10-07,http://ufcstats.com/fighter-details/841695e02c99a521
Akbar Abdullaev,Akbar,Abdullaev,Bakal,,155.0,,,1997-09-20,http://ufcstats.com/fighter-details/24cb8f04de1310cb
Tahir Abdullayev,Tahir,Abdullayev,Tank,172.7,170.0,185.4,Orthodox,1997-02-02,http://ufcstats.com/fighter-details/e047d3b541afd4a7
Shamil Abdurakhimov,Shamil,Abdurakhimov,Abrek,190.5,235.0,193.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,Hiroyuki,Abe,Abe Ani,167.6,145.0,,Orthodox,,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,Daichi,Abe,,180.3,170.0,180.3,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,Papy,Abedi,Makambo,180.3,185.0,,Southpaw,1978-06-30,http://ufcstats.com/fighter-details/c9f6385af6df66d7
