event_name,event_date,location,bout,fighter_a,fighter_b,winner,outcome_a,outcome_b,weight_class,method,finish_round,finish_time,time_format,referee,fight_url
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Chuck Liddell vs. Noe Hernandez,Chuck Liddell,Noe Hernandez,Chuck Liddell,W,L,Middleweight Bout,Decision - Unanimous,1,12:00,1 Rnd (12),Joe Hamilton,http://ufcstats.com/fight-details/ea535b46e0f69ad3
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Frank Shamrock vs. Jeremy Horn,Frank Shamrock,Jeremy Horn,Frank Shamrock,W,L,UFC Light Heavyweight Title Bout,Submission,2,1:28,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/1d3c1dedfba6eddc
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Pete Williams vs. Mark Coleman,Pete Williams,Mark Coleman,Pete Williams,W,L,Heavyweight Bout,KO/TKO,2,0:38,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/a4d8e991ec42b048
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Dan Henderson vs. Carlos Newton,Dan Henderson,Carlos Newton,Dan Henderson,W,L,UFC 17 Middleweight Tournament Title Bout,Decision - Split,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/17526cb9fb6072ef
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Andre Roberts vs. Harry Moskowitz,Andre Roberts,Harry Moskowitz,Andre Roberts,W,L,Heavyweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/8b258bbb37f74a66
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Mike van Arsdale vs. Joe Pardo,Mike van Arsdale,Joe Pardo,Mike van Arsdale,W,L,Heavyweight Bout,Submission,1,11:01,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/74dcccd3d2f487a1
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Carlos Newton vs. Bob Gilstrap,Carlos Newton,Bob Gilstrap,Carlos Newton,W,L,Middleweight Bout,Submission,1,0:52,1 Rnd + OT (12-3),Joe Hamilton,http://ufcstats.com/fight-details/8d83354075a937f2
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",Dan Henderson vs. Allan Goes,Dan Henderson,Allan Goes,Dan Henderson,W,L,Middleweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),Joe Hamilton,http://ufcstats.com/fight-details/21aa163b80e504f9
UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",David Abbott vs. Hugo Duarte,David Abbott,Hugo Duarte,David Abbott,W,L,Heavyweight Bout,KO/TKO,1,0:43,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/1e14e79a477f2357
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Cesar Marscucci vs. Paulo Santos,Cesar Marscucci,Paulo Santos,Cesar Marscucci,W,L,Lightweight Bout,KO/TKO,1,10:27,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/635fbf57001897c7
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Tulio Palhares vs. Adriano Santos,Tulio Palhares,Adriano Santos,Tulio Palhares,W,L,Middleweight Bout,KO/TKO,1,9:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/35b871e0bdc1415b
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Ebenezer Fontes Braga vs. Jeremy Horn,Ebenezer Fontes Braga,Jeremy Horn,Ebenezer Fontes Braga,W,L,Middleweight Bout,Submission,1,3:27,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/b6de61e312dbb1db
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Tsuyoshi Kohsaka vs. Pete Williams,Tsuyoshi Kohsaka,Pete Williams,Tsuyoshi Kohsaka,W,L,Heavyweight Bout,Decision - Unanimous,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/dbdad3eb157703bc
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Pat Miletich vs. Mikey Burnett,Pat Miletich,Mikey Burnett,Pat Miletich,W,L,UFC Welterweight Title Bout,Decision - Split,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/07423d10cc23bfeb
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Pedro Rizzo vs. David Abbott,Pedro Rizzo,David Abbott,Pedro Rizzo,W,L,Heavyweight Bout,KO/TKO,1,8:07,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/f85bbc760000f001
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Vitor Belfort vs. Wanderlei Silva,Vitor Belfort,Wanderlei Silva,Vitor Belfort,W,L,Middleweight Bout,KO/TKO,1,0:44,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/3261bd16c10e3014
UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",Frank Shamrock vs. John Lober,Frank Shamrock,John Lober,Frank Shamrock,W,L,UFC Light Heavyweight Title Bout,Submission,1,7:40,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/c8a04210d832a928
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Pat Miletich vs. Jorge Patino,Pat Miletich,Jorge Patino,Pat Miletich,W,L,UFC Welterweight Title Bout,Decision - Unanimous,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,http://ufcstats.com/fight-details/453118d7f05be814
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Pedro Rizzo vs. Mark Coleman,Pedro Rizzo,Mark Coleman,Pedro Rizzo,W,L,Heavyweight Bout,Decision - Split,2,3:00,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/86090172facd6cf7
UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",Bas Rutten vs. Tsuyoshi Kohsaka,Bas Rutten,Tsuyoshi Kohsaka,Bas Rutten,W,L,Heavyweight Bout,KO/TKO,2,2:15,1 Rnd + OT (12-3),John McCarthy,http://ufcstats.com/fight-details/3fc4d9f17be8d003
