event_name,bout,round,fighter,kd,sub_att,rev,ctrl_sec,sig_str_landed,sig_str_att,sig_str_pct,total_str_landed,total_str_att,td_landed,td_att,td_pct,head_landed,head_att,body_landed,body_att,leg_landed,leg_att,distance_landed,distance_att,clinch_landed,clinch_att,ground_landed,ground_att
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,1,Ed Herman,0.0,0.0,1.0,78.0,2.0,2.0,100.0,5.0,5.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,1,Jason MacDonald,0.0,2.0,1.0,57.0,5.0,7.0,71.0,14.0,16.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,1,Chris Price,0.0,0.0,1.0,36.0,5.0,10.0,50.0,7.0,12.0,0.0,0.0,,2.0,7.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,2.0
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,1,Kendall Grove,0.0,1.0,1.0,164.0,13.0,26.0,50.0,22.0,36.0,1.0,1.0,100.0,12.0,25.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,11.0,21.0
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,1,Forrest Petz,0.0,0.0,0.0,21.0,5.0,18.0,27.0,19.0,35.0,0.0,0.0,,2.0,14.0,2.0,3.0,1.0,1.0,1.0,9.0,4.0,9.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,1,Marcus Davis,0.0,1.0,0.0,50.0,33.0,50.0,66.0,66.0,88.0,0.0,0.0,,17.0,33.0,8.0,9.0,8.0,8.0,5.0,11.0,20.0,24.0,8.0,15.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,1,Matt Hamill,0.0,0.0,0.0,230.0,8.0,22.0,36.0,49.0,68.0,2.0,4.0,50.0,6.0,20.0,0.0,0.0,2.0,2.0,4.0,15.0,2.0,3.0,2.0,4.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,2,Matt Hamill,0.0,0.0,0.0,175.0,5.0,14.0,35.0,27.0,46.0,2.0,2.0,100.0,4.0,13.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,2.0,1.0,2.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,3,Matt Hamill,0.0,0.0,0.0,204.0,1.0,4.0,25.0,29.0,34.0,3.0,5.0,60.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,1,Seth Petruzelli,0.0,0.0,0.0,0.0,9.0,17.0,52.0,18.0,26.0,0.0,0.0,,1.0,8.0,4.0,4.0,4.0,5.0,7.0,14.0,2.0,3.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,2,Seth Petruzelli,1.0,0.0,0.0,11.0,8.0,23.0,34.0,20.0,36.0,0.0,0.0,,6.0,21.0,1.0,1.0,1.0,1.0,6.0,18.0,1.0,2.0,1.0,3.0
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,3,Seth Petruzelli,0.0,1.0,0.0,0.0,8.0,18.0,44.0,16.0,26.0,0.0,0.0,,4.0,12.0,3.0,5.0,1.0,1.0,8.0,17.0,0.0,1.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,1,Crafton Wallace,0.0,0.0,0.0,45.0,4.0,15.0,26.0,24.0,35.0,0.0,0.0,,3.0,14.0,0.0,0.0,1.0,1.0,4.0,14.0,0.0,0.0,0.0,1.0
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,2,Crafton Wallace,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,1,Nate Marquardt,0.0,1.0,1.0,155.0,9.0,21.0,42.0,22.0,36.0,1.0,2.0,50.0,3.0,14.0,2.0,2.0,4.0,5.0,7.0,16.0,0.0,0.0,2.0,5.0
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,2,Nate Marquardt,0.0,1.0,0.0,60.0,4.0,6.0,66.0,9.0,11.0,1.0,1.0,100.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,1,Josh Haynes,0.0,0.0,0.0,15.0,9.0,43.0,20.0,13.0,48.0,0.0,2.0,0.0,4.0,33.0,3.0,7.0,2.0,3.0,8.0,40.0,1.0,3.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,2,Josh Haynes,1.0,0.0,0.0,121.0,12.0,40.0,30.0,17.0,45.0,1.0,2.0,50.0,11.0,39.0,1.0,1.0,0.0,0.0,2.0,17.0,1.0,3.0,9.0,20.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,3,Josh Haynes,0.0,0.0,0.0,37.0,2.0,18.0,11.0,2.0,20.0,0.0,2.0,0.0,0.0,15.0,0.0,1.0,2.0,2.0,2.0,17.0,0.0,1.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,1,Rory Singer,0.0,0.0,0.0,55.0,21.0,49.0,42.0,25.0,53.0,0.0,1.0,0.0,17.0,45.0,3.0,3.0,1.0,1.0,12.0,31.0,9.0,18.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,2,Rory Singer,0.0,0.0,0.0,9.0,8.0,26.0,30.0,9.0,27.0,0.0,0.0,,8.0,26.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,1.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,3,Rory Singer,0.0,0.0,0.0,12.0,21.0,48.0,43.0,23.0,50.0,0.0,0.0,,19.0,46.0,2.0,2.0,0.0,0.0,18.0,44.0,3.0,3.0,0.0,1.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,1,John Alessio,0.0,0.0,0.0,123.0,2.0,14.0,14.0,3.0,15.0,0.0,4.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,2,John Alessio,0.0,0.0,0.0,88.0,7.0,41.0,17.0,11.0,45.0,1.0,4.0,25.0,7.0,41.0,0.0,0.0,0.0,0.0,4.0,34.0,2.0,6.0,1.0,1.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,3,John Alessio,0.0,0.0,0.0,42.0,4.0,27.0,14.0,4.0,27.0,1.0,2.0,50.0,4.0,25.0,0.0,2.0,0.0,0.0,4.0,25.0,0.0,2.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,1,Thiago Alves,0.0,0.0,0.0,0.0,21.0,43.0,48.0,24.0,46.0,0.0,0.0,,6.0,27.0,6.0,7.0,9.0,9.0,12.0,31.0,9.0,12.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,2,Thiago Alves,0.0,0.0,0.0,75.0,18.0,45.0,40.0,34.0,62.0,0.0,0.0,,10.0,33.0,2.0,2.0,6.0,10.0,9.0,26.0,2.0,4.0,7.0,15.0
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,3,Thiago Alves,0.0,0.0,0.0,1.0,24.0,54.0,44.0,26.0,56.0,0.0,0.0,,11.0,35.0,3.0,4.0,10.0,15.0,20.0,47.0,4.0,7.0,0.0,0.0
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,1,Ken Shamrock,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
